accX,accY,accZ,Behavior
0.2345,0.0156,0.9691,l
-0.3814,0.347,0.8471,t
-0.387,0.3557,0.844,t
-0.3795,0.3595,0.8553,t
-0.3857,0.3595,0.849,t
-0.3807,0.3595,0.844,t
0.1344,0.5314,0.8346,t
-0.1375,-0.2113,1.5324,t
-0.2126,-0.2363,0.9372,t
-0.2745,-0.8753,0.1644,t
0.0294,0.1113,1.016,t
0.6189,0.3751,1.3348,t
-1.1616,-0.3801,0.8922,t
-1.0453,-0.7665,3.7449,t
-0.055,-3.1473,-0.5477,t
-0.6877,-0.1563,0.7034,t
-0.1719,0.2032,0.9534,t
-0.0313,0.2032,0.9534,t
-0.0313,0.2188,1.0316,t
0.0313,0.297,0.9691,t
0.0469,0.2813,0.9222,t
0.0469,-0.2345,0.9534,s
0.0469,-0.2501,0.9222,s
0.0625,-0.2345,0.9378,s
0.0625,-0.2501,0.9534,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.0782,-0.2345,0.9378,s
0.0782,-0.2501,0.9534,s
0.0625,-0.2501,0.9222,s
0.0938,-0.2657,0.9534,s
0.0625,-0.2501,0.9378,s
0.0782,-0.2345,0.9534,s
0.0782,-0.2501,0.9534,s
0.0782,-0.2345,0.9222,s
0.0625,-0.2501,0.9378,s
0.0782,-0.2657,0.9378,s
0.0782,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.0469,-0.2657,0.9378,s
0.0782,-0.2501,0.9378,s
-0.2345,0.1563,0.9566,l
-0.2345,0.1563,0.9691,l
-0.2363,0.1544,0.9653,l
-0.2476,0.1432,0.9365,l
-0.2188,0.1719,0.9222,l
-0.1719,0.2501,1.0003,l
-0.1869,0.2201,0.9853,l
-0.2019,0.1757,0.9847,l
-0.1894,0.2132,0.9709,l
-0.1482,0.2319,0.9691,l
-0.1657,0.247,0.9566,l
-0.1601,0.2501,0.9772,l
-0.1788,0.2163,0.9509,l
-0.1876,0.2032,0.9909,l
-0.2176,0.1732,0.9659,l
-0.2063,0.1751,0.9659,l
-0.1701,0.1963,0.9847,l
-0.1563,0.2276,0.9522,l
-0.1788,0.2126,0.9372,l
-0.1894,0.1651,0.9534,l
0.1094,-0.5471,0.7971,t
0.1094,-0.5471,0.7815,t
0.125,-0.5471,0.7815,t
0.125,-0.5627,0.7971,t
0.125,-0.5627,0.7971,t
0.0156,-0.5471,0.7971,t
0.0313,-0.6877,0.8128,t
0.3195,-0.699,1.0285,t
0.0656,-0.5802,0.5483,t
-0.3851,-0.4426,0.2219,t
0.13,-0.6315,0.4295,t
0.7596,-0.9253,0.8315,t
0.5133,-1.2266,0.9391,t
0.367,-0.9097,0.7871,t
0.2857,-0.8171,0.6308,t
0.2251,-0.669,0.7002,t
0.2345,-0.634,0.719,t
0.2345,-0.6102,0.719,t
0.2507,-0.5939,0.7352,t
0.257,-0.5852,0.759,t
-0.125,0.2345,0.9222,s
-0.1163,0.2345,0.9222,s
-0.1188,0.2345,0.9222,s
-0.125,0.2445,0.9222,s
-0.1357,0.2395,0.9222,s
-0.1294,0.2345,0.9222,s
-0.125,0.2345,0.934,s
-0.1375,0.2345,0.9253,s
-0.1407,0.2345,0.9222,s
-0.1407,0.2345,0.9359,s
-0.1407,0.2201,0.9234,s
-0.125,0.2188,0.9222,s
-0.1407,0.2345,0.9222,s
-0.1407,0.2345,0.9065,s
-0.125,0.2345,0.9065,s
-0.125,0.2345,0.8909,s
-0.125,0.2345,0.9065,s
-0.125,0.2345,0.9065,s
-0.125,0.2345,0.9065,s
-0.125,0.2345,0.9065,s
-0.1876,0.0775,0.9534,l
-0.1876,0.0638,0.9822,l
-0.1601,0.09,0.9984,l
-0.1563,0.0807,0.9872,l
-0.1563,0.0531,0.9722,l
-0.1682,0.0588,0.9809,l
-0.1832,0.04,0.9622,l
-0.1663,0.0525,0.9747,l
-0.1563,0.0725,0.9947,l
-0.1657,0.05,1.0097,l
-0.1719,0.0488,1.0072,l
-0.1719,0.0544,1.0003,l
-0.1644,0.0619,0.9853,l
-0.1563,0.0782,0.9622,l
-0.1626,0.0907,0.9597,l
-0.155,0.115,0.9578,l
-0.13,0.105,0.9778,l
-0.1407,0.0538,1.0585,l
-0.1444,0.0463,1.036,l
-0.1563,0.0938,1.0003,l
0.1088,-0.2482,0.8672,t
0.06,-0.3457,0.9159,t
0.07,-0.3995,0.9184,t
0.125,-0.4064,0.8815,t
0.095,-0.4264,0.8153,t
0.0782,-0.512,0.739,t
0.2019,-0.6596,0.6852,t
0.3689,-1.8556,0.5177,t
0.9566,-3.6574,0.844,t
2.1313,-0.0782,-0.0469,t
1.9713,2.2951,-0.0832,t
1.2466,0.8628,-0.4651,t
0.2501,-0.2501,0.1094,t
-0.0156,-0.1719,0.4064,t
-1.0628,-0.4064,0.2657,t
-0.0156,0.0625,0.2657,t
0.0782,0.5158,0.9222,t
0.3751,0.1876,1.141,t
0.3595,0.2501,1.1723,t
0.2188,0.0313,1.266,t
