accX,accY,accZ,behavior
0.0625,-0.2501,0.9378,s
0.0782,-0.2501,0.9534,s
0.0625,-0.2501,0.9378,s
0.0782,-0.2345,0.9534,s
0.0469,-0.2501,0.9534,s
0.0625,-0.2501,0.9534,s
0.0475,-0.2651,0.9234,s
0.0613,-0.2513,0.9365,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.075,-0.2501,0.9378,s
0.0663,-0.2501,0.9616,s
0.0625,-0.2501,0.9466,s
0.0625,-0.2501,0.9484,s
0.0625,-0.2501,0.9434,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9466,s
0.0625,-0.2501,0.9372,s
0.0625,-0.2501,0.9372,s
0.0625,-0.2501,0.9534,s
0.0625,-0.2563,0.9472,s
0.0625,-0.2601,0.9378,s
0.0625,-0.2451,0.9328,s
0.0669,-0.2388,0.9265,s
0.0744,-0.2501,0.934,s
0.0625,-0.2501,0.9284,s
0.065,-0.2501,0.9509,s
0.0782,-0.2501,0.9378,s
0.0782,-0.2501,0.9391,s
0.0782,-0.2501,0.9534,s
-0.0938,-0.2657,0.9534,t
-0.0625,-0.2501,0.9534,t
-0.0625,-0.2657,0.9534,t
-0.0625,-0.2657,0.9378,t
-0.0469,-0.2657,0.9378,t
-0.0469,-0.2501,0.9691,t
-0.0782,-0.2813,0.9534,t
-0.0782,-0.2657,0.9534,t
-0.0625,-0.2657,0.9378,t
-0.0782,-0.2813,0.9378,t
-0.0782,-0.2813,0.9534,t
-0.0625,-0.2657,0.9378,t
-0.0782,-0.2501,0.9691,t
-0.0782,-0.2501,0.9534,t
-0.0625,-0.2657,0.9534,t
-0.0782,-0.2657,0.9378,t
-0.0625,-0.2345,0.9378,t
-0.0782,-0.2501,0.9378,t
-0.0469,-0.2657,0.9378,t
-0.0782,-0.2345,0.9378,t
-0.0625,-0.2657,0.9534,t
-0.0782,-0.2657,0.9534,t
-0.0782,-0.2813,0.9378,t
-0.0625,-0.2657,0.9534,t
-0.0625,-0.2657,0.9378,t
-0.0782,-0.2657,0.9378,t
-0.0782,-0.2657,0.9378,t
-0.0625,-0.2501,0.9534,t
-0.0782,-0.2657,0.9378,t
-0.0938,-0.2813,0.9378,t
-0.0782,-0.2657,0.9378,t
-0.0625,-0.2657,0.9378,t
-0.0625,-0.2657,0.9222,t
-0.0782,-0.2813,0.9534,t
-0.0782,-0.2813,0.9378,t
-0.0782,-0.2813,0.9065,t
-0.0782,-0.2813,0.9378,t
-0.0625,-0.2813,0.9534,t
-0.0625,-0.2657,0.9378,t
-0.0782,-0.297,0.9378,t
-0.0782,-0.2657,0.9534,t
-0.0469,-0.2657,0.9378,t
-0.0619,-0.2807,0.9378,t
-0.0913,-0.267,0.9378,t
-0.0663,-0.2795,0.9378,t
-0.0625,-0.2945,0.9509,t
-0.0625,-0.272,0.9284,t
-0.0625,-0.2657,0.9459,t
-0.0738,-0.277,0.9422,t
-0.0782,-0.292,0.9272,t
-0.0782,-0.287,0.9222,t
-0.0782,-0.2813,0.9409,t
-0.0782,-0.2901,0.9359,t
-0.0782,-0.297,0.9222,t
-0.0782,-0.297,0.9297,t
-0.0713,-0.2901,0.9378,t
-0.15,-0.5064,0.9503,t
-0.3432,-0.9172,1.301,t
-0.6133,-1.3423,1.7062,t
-0.2182,-1.3173,0.6477,t
1.3836,0.4495,-0.834,t
0.1813,0.4376,0.0625,t
-1.1491,-0.7853,0.8253,t
-1.9069,-0.879,1.1347,t
-0.4802,-0.1788,0.5395,t
0.1094,0.2813,0.8128,t
0.2657,0.7971,0.9065,t
0.3595,1.0472,1.1254,t
0.2501,0.9534,1.016,t
0.0938,0.8597,0.6721,t
0,0.6252,0.5939,t
-0.0313,0.5783,0.8284,t
-0.0469,0.5471,0.8128,t
-0.0156,0.3908,0.9378,t
-0.0156,0.4376,0.8909,t
-0.0156,0.4376,0.9222,t
0,0.4533,0.9065,t
-0.0156,0.4376,0.8284,t
-0.0469,0.4533,0.8753,t
-0.0313,0.4533,0.8909,t
0.0156,0.422,0.9065,t
-0.0156,0.422,0.9065,t
-0.0313,0.4845,0.9065,t
0.0782,0.3282,0.9847,t
-0.0469,0.3439,0.8909,t
-0.0156,0.3439,0.8909,t
-0.0313,0.3908,0.9065,t
-0.0938,0.422,0.9065,t
-0.0938,0.3908,0.9378,t
-0.125,0.3751,0.9222,t
-0.1094,0.3282,0.8909,t
-0.1094,0.3439,0.9222,t
-0.1094,0.3289,0.9072,t
-0.095,0.3282,0.9353,t
-0.0938,0.3145,0.9378,t
-0.0938,0.2995,0.9247,t
-0.0813,0.297,0.9472,t
-0.0782,0.3088,0.9416,t
-0.1007,0.2901,0.9378,t
-0.12,0.2707,0.9165,t
-0.115,0.2557,0.9265,t
-0.1094,0.2501,0.9472,t
-0.1094,0.2588,0.9359,t
-0.1094,0.2738,0.9384,t
-0.1094,0.2738,0.9534,t
-0.1094,0.2588,0.9534,t
-0.1032,0.2563,0.9472,t
